196,887,783,254,678,510,56,310,217,127,74,714,133,356,366,455,651,350,477,673
697,679,566,71,121,19,341,565,41,499,228,290,687,923,936,619,192,809,910,347
513,549,830,960,747,207,686,126,907,39,450,49,173,29,32,235,193,98,288,937
259,983,25,316,70,925,196,529,995,556,555,801,738,320,865,520,352,687,925,497
654,174,69,500,90,996,286,255,501,334,364,236,242,693,780,655,493,319,615,559
197,142,639,101,815,680,552,62,950,721,480,512,966,899,415,975,911,694,194,451
235,196,50,986,277,612,277,549,827,533,182,875,540,687,270,400,688,259,856,105
504,34,270,71,127,902,546,430,310,641,342,259,116,257,377,499,693,70,922,630
941,490,652,767,289,168,382,622,362,208,372,203,209,130,65,657,194,954,267,32
121,563,606,521,142,29,386,186,304,288,343,945,70,107,485,564,790,580,9,101
93,608,595,60,205,682,708,897,747,571,506,918,571,846,542,221,270,390,301,558
587,486,185,212,37,276,338,987,29,753,116,966,923,905,896,120,94,781,727,924
289,770,493,730,559,82,528,635,94,217,264,246,183,574,901,283,562,349,191,691
64,935,597,649,215,503,841,771,985,383,333,169,647,322,801,314,860,277,732,363
687,198,472,770,134,814,526,652,125,564,582,978,621,968,616,883,718,984,581,415
891,491,678,960,190,375,550,709,695,551,324,478,765,55,46,358,29,214,793,54
970,220,176,516,260,416,48,503,293,953,605,202,996,198,757,573,219,386,131,555
763,811,934,703,645,518,118,386,297,260,303,739,595,272,966,725,615,699,731,59
490,253,933,32,926,693,398,531,494,657,513,389,820,516,391,748,42,65,362,849
683,10,391,195,259,712,799,206,216,712,871,193,967,466,800,489,477,997,610,486
