[-20, 40, 40, 40, 40, -20, 40, 40, 40, -20, 40, 40, 40, 40, 40, 40, 10, 40, 40, 40]
[40, 40, 40, -20, -20, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, -20, 40, 40, 40]
[40, 40, 40, 40, 40, 20, 40, 40, 40, 40, 10, 40, 40, 40, -20, 40, 40, 40, 40, 40]
[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]
[40, -20, -20, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, -20, 40, -20, 40, 40]
[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]
[-20, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]
[40, -20, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 20, 40]
[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]
[-20, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]
[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]
[40, 40, -20, 40, 40, 40, 40, 40, -20, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]
[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]
[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, -20, 40, 40, 40, 40, 40, 40, 40, 40]
[-20, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]
[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, -20, 40, 40, -20, 40, 40]
[40, -20, 40, 40, 40, 40, -20, 40, 40, 40, 40, 40, 40, 40, 40, -20, 40, 40, 40, -20]
[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, -20, 40, 40, 40, 40, 40, 40, -20, 40, 40]
[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, -20, 40, 40, 40]
[40, 40, 40, 40, 40, 40, 40, 40, -20, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]
